rank,paper_id,title,doi,doi_url,openalex_oa_status,open_pdf_url,open_landing_url,oa_source,local_pdf,download_status
1,paper_01,"Intraday Seasonality in Efficiency, Liquidity, Volatility and Volume: Platinum and Gold Futures in Tokyo and New York",10.2139/ssrn.3021533,https://doi.org/10.2139/ssrn.3021533,oa_landing_found,,https://doi.org/10.2139/ssrn.3021533,SSRN Electronic Journal,paper_01.pdf,downloaded
2,paper_02,Intraday Momentum in Chinese Commodity Futures Markets,10.2139/ssrn.3577431,https://doi.org/10.2139/ssrn.3577431,oa_landing_found,,https://doi.org/10.2139/ssrn.3577431,SSRN Electronic Journal,,unavailable_ssrn_removed
3,paper_03,Time Series Momentum and Reversal: Intraday Information from Realized Semivariance,10.2139/ssrn.3584014,https://doi.org/10.2139/ssrn.3584014,oa_landing_found,,https://doi.org/10.2139/ssrn.3584014,SSRN Electronic Journal,paper_03.pdf,downloaded
4,paper_04,Forecasting Intraday Volatility: Evidence from China Gold Futures Market,10.2139/ssrn.4359812,https://doi.org/10.2139/ssrn.4359812,oa_landing_found,,http://dx.doi.org/10.2139/ssrn.4359812,SSRN Electronic Journal,paper_04.pdf,downloaded
5,paper_05,Liquidity and Volatility in the Chinese Commodity Futures Market: Evidence from Intraday Data,10.2139/ssrn.2626040,https://doi.org/10.2139/ssrn.2626040,oa_landing_found,,https://doi.org/10.2139/ssrn.2626040,SSRN Electronic Journal,,unavailable_ssrn_removed
6,paper_06,Intraday time‐series momentum: Evidence from China,10.1002/fut.22084,https://doi.org/10.1002/fut.22084,oa_landing_found,,https://doi.org/10.2139/ssrn.3493927,SSRN Electronic Journal,paper_06.pdf,downloaded
7,paper_07,News Sentiment and Commodity Futures Investing,10.2139/ssrn.4870724,https://doi.org/10.2139/ssrn.4870724,oa_landing_found,,http://dx.doi.org/10.2139/ssrn.4870724,SSRN Electronic Journal,paper_07.pdf,downloaded
8,paper_08,Novel and Old News Sentiment in Commodity Futures Markets,10.2139/ssrn.4755296,https://doi.org/10.2139/ssrn.4755296,oa_landing_found,,http://dx.doi.org/10.2139/ssrn.4755296,SSRN Electronic Journal,paper_08.pdf,downloaded
9,paper_09,Momentum Strategies in Futures Markets and Trend-following Funds,10.2139/ssrn.1968996,https://doi.org/10.2139/ssrn.1968996,oa_landing_found,,https://doi.org/10.2139/ssrn.1968996,SSRN Electronic Journal,paper_09.pdf,downloaded
10,paper_10,"Reversal, Momentum and Intraday Returns",10.2139/ssrn.2991183,https://doi.org/10.2139/ssrn.2991183,oa_landing_found,,https://doi.org/10.2139/ssrn.2991183,SSRN Electronic Journal,paper_10.pdf,downloaded
11,paper_11,Is There an Intraday Momentum Effect in Commodity Futures and Options: Evidence from the Chinese Market,10.2139/ssrn.4688712,https://doi.org/10.2139/ssrn.4688712,oa_landing_found,,http://dx.doi.org/10.2139/ssrn.4688712,SSRN Electronic Journal,paper_11.pdf,downloaded
12,paper_12,Market Sentiment in Commodity Futures Returns,10.2139/ssrn.1934397,https://doi.org/10.2139/ssrn.1934397,oa_landing_found,,https://doi.org/10.2139/ssrn.1934397,SSRN Electronic Journal,paper_12.pdf,downloaded
